STUDY_ID	SAMPLE_ID	HLA-A	HLA-B	HLA-C
brca_tcga_pub	TCGA-BH-A0AV-01	-0.1285	-0.1781	-0.4933
brca_tcga_pub	TCGA-BH-A0BG-01	1.5435	1.1726	1.5644
brca_tcga_pub	TCGA-BH-A0BL-01	0.5074	0.4329	0.4855
brca_tcga_pub	TCGA-BH-A0BW-01	1.9986	1.6224	1.4666
brca_tcga_pub	TCGA-BH-A0DL-01	0.3237	0.0884	0.5382
brca_tcga_pub	TCGA-BH-A0WA-01	0.5267	0.7673	0.7163
brca_tcga_pub	TCGA-BH-A18G-01	0.0469	-1.1528	0.3417
brca_tcga_pub	TCGA-C8-A12K-01	0.8967	0.8618	0.8466
brca_tcga_pub	TCGA-C8-A12V-01	1.4423	1.1691	1.2921
brca_tcga_pub	TCGA-C8-A131-01	-0.4072	-1.1757	-0.1006
brca_tcga_pub	TCGA-C8-A134-01	0.588	1.1736	1.0215
brca_tcga_pub	TCGA-D8-A147-01	0.5319	0.5129	0.1167
brca_tcga_pub	TCGA-E2-A14N-01	0.2858	-0.1732	0.2918
brca_tcga_pub	TCGA-E2-A14R-01	0.4155	0.2331	0.8708
brca_tcga_pub	TCGA-E2-A14X-01	0.6405	0.863	0.3986
brca_tcga_pub	TCGA-E2-A14Y-01	-0.3354	-0.5433	0.0401
brca_tcga_pub	TCGA-E2-A150-01	1.8508	1.7491	1.7213
brca_tcga_pub	TCGA-E2-A158-01	0.1569	0.1091	0.0728
brca_tcga_pub	TCGA-E2-A159-01	0.0907	0.3039	0.1346
brca_tcga_pub	TCGA-E2-A1AZ-01	0.8081	0.5232	0.8503
brca_tcga_pub	TCGA-E2-A1B5-01	1.9356	1.0476	2.0066
brca_tcga_pub	TCGA-A8-A08L-01	-0.4534	-0.2012	-0.3766
brca_tcga_pub	TCGA-BH-A1EV-01	-0.6483	-1.0955	-0.8378
brca_tcga_pub	TCGA-B6-A0I9-01	0.5925	0.032	0.9481
brca_tcga_pub	TCGA-A8-A09X-01	-0.0799	-0.1124	-0.3717
brca_tcga_pub	TCGA-B6-A0IK-01	-0.3798	-0.8024	-0.0585
brca_tcga_pub	TCGA-BH-A18P-01	0.8935	0.6071	0.9169
brca_tcga_pub	TCGA-A8-A08J-01	0.4248	0.2154	0.507
brca_tcga_pub	TCGA-BH-A18R-01	-0.2099	-0.3479	-0.5311
brca_tcga_pub	TCGA-AR-A1AT-01	1.5123	1.1561	1.1504
brca_tcga_pub	TCGA-B6-A0RS-01	-0.1638	0.2493	-0.2547
brca_tcga_pub	TCGA-BH-A0DZ-01	0.4898	-0.1272	0.4024
brca_tcga_pub	TCGA-A2-A0T1-01	0.5938	1.0414	0.8799
brca_tcga_pub	TCGA-AO-A0J2-01	0.983	0.897	0.8423
brca_tcga_pub	TCGA-BH-A0AW-01	0.7318	0.1361	0.5788
brca_tcga_pub	TCGA-BH-A0EE-01	1.4747	1.3288	1.456
brca_tcga_pub	TCGA-A2-A0D1-01	-1.8222	-1.4547	-1.5435
brca_tcga_pub	TCGA-AO-A03N-01	-0.8281	-1.3159	-0.0521
brca_tcga_pub	TCGA-A2-A0CY-01	-2.1519	-2.8283	-2.3813
brca_tcga_pub	TCGA-A2-A04X-01	1.883	1.882	1.829
brca_tcga_pub	TCGA-A2-A0CX-01	-0.0186	-0.3166	0.2789
brca_tcga_pub	TCGA-A2-A04W-01	-1.0673	-0.371	-0.8528
brca_tcga_pub	TCGA-AO-A12D-01	1.6324	1.6106	1.8624
brca_tcga_pub	TCGA-A2-A0CL-01	0.3679	0.5338	0.0499
brca_tcga_pub	TCGA-AO-A0JE-01	0.8469	1.0503	1.1374
brca_tcga_pub	TCGA-A2-A0EQ-01	1.0262	0.5936	1.0782
brca_tcga_pub	TCGA-AO-A03L-01	0.1943	-0.4987	-0.0234
brca_tcga_pub	TCGA-B6-A0RH-01	1.5482	1.0559	1.1781
brca_tcga_pub	TCGA-A8-A075-01	0.3234	0.9162	0.5394
brca_tcga_pub	TCGA-A8-A076-01	-0.0646	-0.1444	-0.0638
brca_tcga_pub	TCGA-A8-A07B-01	-0.8043	-1.0335	-1.0346
brca_tcga_pub	TCGA-A8-A07I-01	1.3155	0.9509	0.8101
brca_tcga_pub	TCGA-A8-A081-01	0.4056	-0.1107	0.5173
brca_tcga_pub	TCGA-A8-A08B-01	1.2396	0.9851	1.0534
brca_tcga_pub	TCGA-A8-A08X-01	-0.0419	0.2574	-0.1101
brca_tcga_pub	TCGA-A8-A092-01	-0.6736	-0.4719	-0.6074
brca_tcga_pub	TCGA-A8-A094-01	0.2191	0.4592	0.4057
brca_tcga_pub	TCGA-A8-A09G-01	1.2514	0.9041	1.5168
brca_tcga_pub	TCGA-A8-A0A7-01	1.4308	1.474	1.4039
brca_tcga_pub	TCGA-AN-A04C-01	-1.914	-2.2574	-2.4566
brca_tcga_pub	TCGA-AN-A0FV-01	-0.1214	-0.6348	-0.2776
brca_tcga_pub	TCGA-AR-A0TX-01	1.1899	1.5631	0.9839
brca_tcga_pub	TCGA-BH-A0B7-01	-0.1569	-0.0246	-0.3676
brca_tcga_pub	TCGA-BH-A0HY-01	0.4727	-0.309	-0.1288
brca_tcga_pub	TCGA-C8-A12L-01	-0.9069	-0.764	-0.9589
brca_tcga_pub	TCGA-C8-A12P-01	-0.4007	-0.5652	-0.198
brca_tcga_pub	TCGA-C8-A12Q-01	0.5439	0.1211	0.6025
brca_tcga_pub	TCGA-C8-A12T-01	-0.4899	-0.3607	-1.1779
brca_tcga_pub	TCGA-C8-A12Z-01	-0.8271	-1.3187	-1.0361
brca_tcga_pub	TCGA-C8-A130-01	-0.4035	-0.8472	-0.5647
brca_tcga_pub	TCGA-C8-A135-01	-1.7088	-1.326	-1.9842
brca_tcga_pub	TCGA-C8-A137-01	-1.5265	-2.1651	-2.1912
brca_tcga_pub	TCGA-C8-A138-01	0.6477	0.6268	0.3729
brca_tcga_pub	TCGA-C8-A1HF-01	0.5054	0.2299	0.7339
brca_tcga_pub	TCGA-D8-A13Z-01	0.5816	0.6435	0.6045
brca_tcga_pub	TCGA-E2-A14P-01	0.168	-0.4488	-0.2961
brca_tcga_pub	TCGA-E2-A14V-01	-1.0971	-1.8014	-0.7659
brca_tcga_pub	TCGA-E2-A152-01	0.2744	-0.1626	0.2655
brca_tcga_pub	TCGA-E2-A1B0-01	0.1034	-0.0858	-0.1819
brca_tcga_pub	TCGA-A2-A0CU-01	-1.6131	-1.5997	-1.9744
brca_tcga_pub	TCGA-AR-A0TR-01	-1.0283	-0.81	-0.6868
brca_tcga_pub	TCGA-BH-A18T-01	-0.9363	-0.4106	-0.1237
brca_tcga_pub	TCGA-B6-A0I8-01	-2.2343	-1.7549	-1.8353
brca_tcga_pub	TCGA-B6-A0X4-01	1.0901	1.4413	1.2328
brca_tcga_pub	TCGA-A8-A06U-01	1.4144	1.4962	1.4173
brca_tcga_pub	TCGA-BH-A0EA-01	-0.6919	-0.406	-0.485
brca_tcga_pub	TCGA-BH-A18N-01	-0.687	-0.559	-0.9549
brca_tcga_pub	TCGA-BH-A1EU-01	0.2162	0.2176	-0.0317
brca_tcga_pub	TCGA-B6-A0X7-01	-0.7504	-1.2502	-0.8196
brca_tcga_pub	TCGA-A2-A04V-01	-0.8722	-0.796	-0.7881
brca_tcga_pub	TCGA-BH-A18S-01	-0.6061	-0.3897	-0.3807
brca_tcga_pub	TCGA-BH-A18M-01	0.5168	0.4004	0.4517
brca_tcga_pub	TCGA-B6-A0RM-01	-2.2209	-2.0049	-1.4842
brca_tcga_pub	TCGA-BH-A1ET-01	-0.7174	0.0876	-0.1957
brca_tcga_pub	TCGA-B6-A0IN-01	0.221	-0.3757	0.417
brca_tcga_pub	TCGA-BH-A1EO-01	-0.0259	0.2419	0.6387
brca_tcga_pub	TCGA-B6-A0WS-01	0.5411	0.9558	0.8421
brca_tcga_pub	TCGA-B6-A0RP-01	0.2835	0.3898	0.3185
brca_tcga_pub	TCGA-B6-A0IH-01	0.0973	0.1866	0.2986
brca_tcga_pub	TCGA-B6-A0WY-01	0.6392	0.5978	0.8401
brca_tcga_pub	TCGA-BH-A1ES-01	-1.5422	-1.6014	-1.394
brca_tcga_pub	TCGA-B6-A0X0-01	-0.8297	-1.4921	-1.4755
brca_tcga_pub	TCGA-B6-A0RQ-01	-1.255	-1.1144	-1.0824
brca_tcga_pub	TCGA-B6-A0IG-01	0.5896	0.9506	0.6529
brca_tcga_pub	TCGA-BH-A0HO-01	0.6856	0.6342	1.0613
brca_tcga_pub	TCGA-BH-A0DS-01	-0.1923	0.235	0.424
brca_tcga_pub	TCGA-BH-A0DQ-01	-0.0042	0.1172	-0.4654
brca_tcga_pub	TCGA-BH-A0HK-01	-0.6785	-1.1498	-0.8387
brca_tcga_pub	TCGA-A7-A0CG-01	0.33	0.2102	0.6662
brca_tcga_pub	TCGA-A7-A0CH-01	0.5358	0.4314	0.5712
brca_tcga_pub	TCGA-A7-A0DB-01	-0.0629	0.1366	-0.1308
brca_tcga_pub	TCGA-A7-A0D9-01	-1.7164	-1.6998	-2.2658
brca_tcga_pub	TCGA-AO-A0J8-01	0.1938	0.768	0.6714
brca_tcga_pub	TCGA-BH-A0GZ-01	-0.9736	-0.8961	-0.8942
brca_tcga_pub	TCGA-AO-A0JA-01	0.0008	-0.0433	0.4241
brca_tcga_pub	TCGA-AO-A0JF-01	0.1428	0.2975	0.0574
brca_tcga_pub	TCGA-A7-A0CD-01	-0.4805	-0.8206	-0.9715
brca_tcga_pub	TCGA-D8-A145-01	-0.7672	-0.6936	-1.2907
brca_tcga_pub	TCGA-BH-A0HP-01	0.0838	0.3965	-0.0738
brca_tcga_pub	TCGA-BH-A0DK-01	0.4261	0.836	0.8642
brca_tcga_pub	TCGA-BH-A0E2-01	-0.4864	-0.4168	-0.3283
brca_tcga_pub	TCGA-A2-A0YI-01	0.7452	1.024	0.7912
brca_tcga_pub	TCGA-A2-A0YL-01	-0.7314	-0.4456	-0.4953
brca_tcga_pub	TCGA-AO-A0JG-01	1.0494	1.4283	1.1774
brca_tcga_pub	TCGA-A2-A0YF-01	-0.3189	-0.8396	0.3041
brca_tcga_pub	TCGA-BH-A0DP-01	0.2282	0.4885	0.4394
brca_tcga_pub	TCGA-BH-A0E1-01	0.7961	1.1086	0.8023
brca_tcga_pub	TCGA-A2-A0T5-01	-1.479	-1.1508	-1.7368
brca_tcga_pub	TCGA-A2-A0T6-01	-0.1842	0.7117	-0.071
brca_tcga_pub	TCGA-BH-A0HI-01	0.1847	0.6064	0.2298
brca_tcga_pub	TCGA-A2-A0T7-01	-0.3544	0.4009	-0.3018
brca_tcga_pub	TCGA-BH-A0BJ-01	0.5114	0.0598	0.4934
brca_tcga_pub	TCGA-BH-A0H7-01	0.6648	0.208	0.7085
brca_tcga_pub	TCGA-BH-A0HF-01	0.5158	0.1871	0.6112
