STUDY_ID	SAMPLE_ID	CD274
brca_tcga	TCGA-EW-A1P5-01	0.401
brca_tcga	TCGA-EW-A1P6-01	-0.4433
brca_tcga	TCGA-EW-A1P7-01	1.0379
brca_tcga	TCGA-EW-A1P8-01	-0.4393
brca_tcga	TCGA-EW-A1PA-01	-0.2583
brca_tcga	TCGA-EW-A1PB-01	15.8757
brca_tcga	TCGA-EW-A1PD-01	-0.512
brca_tcga	TCGA-EW-A1PE-01	2.777
brca_tcga	TCGA-EW-A1PG-01	2.4824
brca_tcga	TCGA-A2-A1FZ-01	-0.3824
brca_tcga	TCGA-BH-A1FU-01	0.0129
brca_tcga	TCGA-D8-A1X5-01	-0.0286
brca_tcga	TCGA-D8-A1XA-01	-0.3189
brca_tcga	TCGA-D8-A1XB-01	-0.2811
brca_tcga	TCGA-D8-A1XC-01	-0.5695
brca_tcga	TCGA-D8-A1XF-01	-0.4307
brca_tcga	TCGA-D8-A1XG-01	-0.2368
brca_tcga	TCGA-E2-A1IL-01	-0.28
brca_tcga	TCGA-E2-A1IU-01	-0.4814
brca_tcga	TCGA-E2-A1LH-01	0.1015
brca_tcga	TCGA-E2-A1LK-01	-0.63
brca_tcga	TCGA-E9-A1N5-01	-0.0164
brca_tcga	TCGA-E9-A1N9-01	-0.4687
brca_tcga	TCGA-E9-A1NF-01	-0.2814
brca_tcga	TCGA-E9-A1NH-01	-0.0024
brca_tcga	TCGA-E9-A1NI-01	-0.4358
brca_tcga	TCGA-E9-A1R2-01	-0.3477
brca_tcga	TCGA-E9-A1R4-01	1.3184
brca_tcga	TCGA-E9-A1R6-01	-0.4035
brca_tcga	TCGA-E9-A1RA-01	-0.5112
brca_tcga	TCGA-E9-A1RG-01	-0.5047
brca_tcga	TCGA-EW-A1P1-01	0.1553
brca_tcga	TCGA-AQ-A0Y5-01	-0.3523
brca_tcga	TCGA-B6-A1KI-01	-0.5671
brca_tcga	TCGA-BH-A201-01	1.3274
brca_tcga	TCGA-BH-A202-01	0.4369
brca_tcga	TCGA-D8-A1JJ-01	-0.2514
brca_tcga	TCGA-D8-A1X6-01	-0.2936
brca_tcga	TCGA-D8-A1X7-01	-0.3053
brca_tcga	TCGA-D8-A1X8-01	-0.379
brca_tcga	TCGA-D8-A1XJ-01	-0.4793
brca_tcga	TCGA-D8-A1XK-01	1.6363
brca_tcga	TCGA-D8-A1XL-01	0.1575
brca_tcga	TCGA-D8-A1XM-01	0.0592
brca_tcga	TCGA-D8-A1XO-01	0.1859
brca_tcga	TCGA-D8-A1XQ-01	1.0994
brca_tcga	TCGA-D8-A1XR-01	-0.4946
brca_tcga	TCGA-D8-A1XS-01	-0.2856
brca_tcga	TCGA-D8-A1XT-01	-0.1426
brca_tcga	TCGA-D8-A1XU-01	-0.4164
brca_tcga	TCGA-D8-A1XV-01	-0.4831
brca_tcga	TCGA-D8-A1XW-01	-0.0088
brca_tcga	TCGA-D8-A1XY-01	-0.3103
brca_tcga	TCGA-D8-A1XZ-01	-0.0617
brca_tcga	TCGA-D8-A1Y0-01	0.7206
brca_tcga	TCGA-D8-A1Y1-01	-0.4583
brca_tcga	TCGA-E2-A1LG-01	0.1106
brca_tcga	TCGA-E9-A1N4-01	0.8838
brca_tcga	TCGA-E9-A1NE-01	1.374
brca_tcga	TCGA-E9-A1NG-01	0.4433
brca_tcga	TCGA-E9-A1R3-01	-0.1074
brca_tcga	TCGA-E9-A1R5-01	-0.5804
brca_tcga	TCGA-E9-A1R7-01	-0.5722
brca_tcga	TCGA-EW-A1PH-01	-0.2063
brca_tcga	TCGA-AC-A23E-01	-0.2209
brca_tcga	TCGA-AC-A23H-01	0.111
brca_tcga	TCGA-BH-A204-01	-0.3279
brca_tcga	TCGA-BH-A208-01	-0.4033
brca_tcga	TCGA-BH-A209-01	1.2872
brca_tcga	TCGA-D8-A1X9-01	0.3865
brca_tcga	TCGA-D8-A1Y2-01	0.0164
brca_tcga	TCGA-D8-A1Y3-01	-0.5238
brca_tcga	TCGA-E2-A1LI-01	-0.2741
brca_tcga	TCGA-E9-A1N3-01	-0.3118
brca_tcga	TCGA-E9-A1NC-01	-0.0028
brca_tcga	TCGA-E9-A1RB-01	-0.5089
brca_tcga	TCGA-E9-A1RC-01	-0.4855
brca_tcga	TCGA-E9-A1RD-01	-0.2902
brca_tcga	TCGA-E9-A1RE-01	-0.5929
brca_tcga	TCGA-E9-A1RF-01	0.4416
brca_tcga	TCGA-E9-A226-01	-0.0878
brca_tcga	TCGA-E9-A227-01	-0.2288
brca_tcga	TCGA-E9-A228-01	-0.4582
brca_tcga	TCGA-E9-A229-01	0.0026
brca_tcga	TCGA-E9-A22A-01	0.1484
brca_tcga	TCGA-E9-A22B-01	-0.145
brca_tcga	TCGA-E9-A22D-01	5.8474
brca_tcga	TCGA-E9-A22E-01	-0.0185
brca_tcga	TCGA-E9-A22G-01	-0.1328
brca_tcga	TCGA-E9-A22H-01	1.2268
brca_tcga	TCGA-A2-A25B-01	0.275
brca_tcga	TCGA-A2-A25C-01	0.1064
brca_tcga	TCGA-A2-A25E-01	-0.4637
brca_tcga	TCGA-A2-A25F-01	5.6363
brca_tcga	TCGA-A7-A26E-01	-0.4254
brca_tcga	TCGA-A7-A26F-01	2.3352
brca_tcga	TCGA-A7-A26G-01	0.2289
brca_tcga	TCGA-A7-A26H-01	-0.1554
brca_tcga	TCGA-A7-A26I-01	0.2443
brca_tcga	TCGA-A7-A26J-01	0.0435
brca_tcga	TCGA-AC-A23C-01	-0.0092
brca_tcga	TCGA-AR-A24H-01	-0.0825
brca_tcga	TCGA-AR-A24K-01	-0.4093
brca_tcga	TCGA-AR-A24L-01	-0.0993
brca_tcga	TCGA-AR-A24M-01	-0.4155
brca_tcga	TCGA-AR-A24N-01	-0.3227
brca_tcga	TCGA-AR-A24O-01	-0.1616
brca_tcga	TCGA-AR-A24P-01	-0.1594
brca_tcga	TCGA-AR-A24Q-01	-0.1561
brca_tcga	TCGA-AR-A24R-01	-0.095
brca_tcga	TCGA-AR-A24S-01	0.558
brca_tcga	TCGA-AR-A24T-01	-0.3062
brca_tcga	TCGA-AR-A24U-01	0.7765
brca_tcga	TCGA-AR-A24V-01	0.5806
